nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link
"Dijual BU Rumah 2 Lantai Furnish Bagus di Permata Hijau Bagus, ada Kolam Renang",6,6,800,52000000000,55319149,"Jl. Permata Intan, Permata Hijau, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-bu-rumah-2-lantai-furnish-bagus-di-permata-hijau-bagus-ada-kolam-renang-oleh-ellen-17131964
Dijual Rumah 3 Lantai di Pondok Indah,6,6,1300,52000000000,91068301,"Jakarta Selatan, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-3-lantai-di-pondok-indah-oleh-nurul-laela-roswati-s-psi-18384551
Mega Kuningan dijual cepat harga NJOP lokasi premium.,6,6,1500,51000000000,72033898,"Mega Kuningan Barat, Mega Kuningan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-mega-kuningan-dijual-cepat-harga-njop-lokasi-premium-oleh-cecep-baskara-17823090
Rumah Tinggal di Jalan Sisingamangaraja,6,6,800,50000000000,80645161,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-tinggal-di-jalan-sisingamangaraja-oleh-akhira-wardah-dita-16495003
Cilandak Banting Harga Rumah Margasatwa Jauh Dibawah NJOP,8,9,5000,50000000000,6996921,"Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cilandak-banting-harga-rumah-margasatwa-jauh-dibawah-njop-oleh-nizar-luthfi-17840199
Menteng jakarta pusat,6,6,1000,49500000000,116745283,"Tanjung, Menteng, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-menteng-jakarta-pusat-oleh-machrus-18944525
Pondok Indah Rumah Mewah Gaya Eropa Best Price,5,5,1400,49000000000,54626533,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-rumah-mewah-gaya-eropa-best-price-oleh-nizar-luthfi-18121785
Rumah Strategis & Premium Jl. Sisingamangaraja,3,4,564,48000000000,58323208,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-strategis-premium-jl-sisingamangaraja-oleh-octavia-sylvie-18577495
kebayoran baru,3,4,564,48000000000,58323208,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kebayoran-baru-oleh-ristalina-18892302
Rumah Lux Pondok Indah siap huni,6,6,1350,48000000000,73846154,"Pondok Indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-lux-pondok-indah-siap-huni-oleh-fenny-d-18873240
