nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link
Rumah Tebet,3,3,220,3400000000,30357143,"Tebet Timur, Tebet, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-tebet-oleh-dan-tagore-17722086
"Rumah Di Tebet Barat, Jalan 2 Mobil, Depan Taman",3,3,170,3400000000,32692308,"Tebet barat, Tebet, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-di-tebet-barat-jalan-2-mobil-depan-taman-oleh-doan-17843012
Jati Padang Pasar Minggu,4,4,300,3400000000,9115282,"Jati Padang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jati-padang-pasar-minggu-oleh-aji-18003991
"Rumah Mewah Di Jagakarsa, Jakarta Selatan. Sisa 1 Unit On Progres",4,4,180,3400000000,19101124,"Jagakarsa, Jakarta Selatan, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-di-jagakarsa-jakarta-selatan-sisa-1-unit-on-progres-oleh-aziz-faeyza-18808174
"Dijual Rumah siap huni 2lantai di Tebet Barat, Jakarta Selatan",4,4,104,3400000000,20000000,"Tebet, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-siap-huni-2lantai-di-tebet-barat-jakarta-selatan-oleh-rizal-18923620
Rumah Siap Huni di Tebet Barat,4,4,170,3400000000,32692308,"JL. Tebet Barat, Tebet, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-di-tebet-barat-oleh-dedi-aprianto-18925274
Pesanggrahan,5,4,190,3400000000,21518987,"Pesanggrahan, Petukangan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pesanggrahan-oleh-muhamad-miladi-18745724
Rumah Tua Hitung Tanah Dalam Komplek Cilandak,3,3,100,3375000000,25000000,"Cilandak, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-tua-hitung-tanah-dalam-komplek-cilandak-oleh-raharja-hadi-bastari-18207351
Rumah mobil Carfot 3mobil Harga nego,4,4,250,3350000000,18611111,"Jalan Mohammad Kahfi 1, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mobil-carfot-3mobil-harga-nego-oleh-iko-18511793
RUMAH SIAP HUNI SELANGKAH KEJALAN UTAMA MOH KAHFI 1,4,5,220,3350000000,18611111,"Jl.Moh.Kahfi 1 cipedak jagakarsa, Cipedak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-selangkah-kejalan-utama-moh-kahfi-1-oleh-mamen-sulivan-18806480
Rumah Mewah Di Jagakarsa,4,5,250,3350000000,31603774,"Jl raya moch kahfi 1, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-di-jagakarsa-oleh-wildan-sofyan-18867813
Rumah 3 lantai plus swiming poll bangunan mewah,4,5,250,3350000000,32843137,"jalan raya khafi 1, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-3-lantai-plus-swiming-poll-bangunan-mewah-oleh-tarono-18932996
Rumah Super Mewah pinggir jalan Dekat TollAndara Dan Cilandak,5,5,250,3350000000,31018519,"Jl moch kahfi 1, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-super-mewah-pinggir-jalan-dekat-tollandara-dan-cilandak-oleh-wildan-sofyan-18867776
Rumah Mewah Modern Clasic Private pool Dekat Ragunan,6,6,250,3350000000,32843137,"Jln Moh Kahfi 1 Jagakarsa Jakarta selatan, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-modern-clasic-private-pool-dekat-ragunan-oleh-syarifudin-18906467
Rumah Tua Hitung Tanah Mendekati NJOP,1,2,200,3330000000,10000000,"Cilandak, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-tua-hitung-tanah-mendekati-njop-oleh-remmi-michael-18628382
"KOMPLEK JL M SAIDI PESANGGRAHAN - Brand New, Dibawah Nilai Appraisal Bank",3,4,285,3300000000,12941176,"Jalan M Saidi Pesanggarahan, Kebayoran Lama, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-komplek-jl-m-saidi-pesanggrahan-brand-new-dibawah-nilai-appraisal-bank-oleh-abdurrahman-siddiq-18668666
"KOMPLEK JL M SAIDI PESANGGRAHAN- Brand New, Dibawah Nilai Appraisal Bank",3,4,285,3300000000,12941176,"Jl M Saidi Petukangan, Pesanggrahan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-komplek-jl-m-saidi-pesanggrahan-brand-new-dibawah-nilai-appraisal-bank-oleh-abdurrahman-siddiq-18663585
Jagakarsa,3,3,184,3300000000,16019417,"Jagakarsa, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jagakarsa-oleh-ferdy-18173285
Rumah Cantik 2 Lantai Dalam Town House di Kebagusan,3,4,138,3300000000,28205128,"HUBUNGI : FITRI - WA. 0812.8003.0500, Kebagusan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-cantik-2-lantai-dalam-town-house-di-kebagusan-oleh-fitri-hatta-18316140
RUMAH DIJUAL MURAH DI KOMPLEK MEGA CINERE TANAH LUAS AKSES DEKAT KE MRT LEBAK BULUS JAKARTA SELATAN,4,6,650,3300000000,8250000,"Mega Cinere, Cinere, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dijual-murah-di-komplek-mega-cinere-tanah-luas-akses-dekat-ke-mrt-lebak-bulus-jakarta-selatan-oleh-abdullah-rifky-said-ss-18763243
Rumah Baru Hadep selatan,4,4,220,3300000000,18333333,"Mochamad kahfi1, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-baru-hadep-selatan-oleh-iko-18657183
Rumah luas di Petukangan Utara,4,5,200,3300000000,18857143,"Petukangan Utara, Pesanggrahan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-luas-di-petukangan-utara-oleh-arief-18670851
Di jual rumah di jl bangka mampang jaksel,4,4,220,3300000000,23571429,"jl bangka mampang jaksel, Mampang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-di-jual-rumah-di-jl-bangka-mampang-jaksel-oleh-rifa-firdaus-18106141
"Rumah Mewah Di Dalam Cluster Kawasan Jagakarsa, Jakarta Selatan",4,4,250,3300000000,24444444,"Jagakarsa, Jakarta Selatan, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-di-dalam-cluster-kawasan-jagakarsa-jakarta-selatan-oleh-aziz-faeyza-18808204
Kahfi 1,4,4,230,3300000000,31132075,"Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kahfi-1-oleh-putri-ajeng-18929655
Dijual Rumah Cantik dalam townhouse area cipete,4,4,196,3300000000,34375000,"Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-cantik-dalam-townhouse-area-cipete-oleh-dini-wiryandoko-18235887
"MURAH & SIAP HUNI! Rumah 2 Lantai di Warung Buncit, Jakarta Selatan",5,8,310,3300000000,15942029,"HUBUNGI : FITRI - WA. 0812.8003.0500, Buncit, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-murah-siap-huni-rumah-2-lantai-di-warung-buncit-jakarta-selatan-oleh-fitri-hatta-18315786
RUMAH MEWAH CLASSIC MODERN,5,4,220,3300000000,22000000,"Sadar, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-classic-modern-oleh-allan-dody-18766930
TownHouse 8Unit 3Lantai Pinggir Jalan Raya Cilandak KKO Harga Termurah Di Areanya Bisa Cash Dan KPR,5,5,160,3300000000,32038835,"Cilandak KKO Raya, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-townhouse-8unit-3lantai-pinggir-jalan-raya-cilandak-kko-harga-termurah-di-areanya-bisa-cash-dan-kpr-oleh-zainal-abidin-18920038
Rumah Mewah Jagakarsa 3Lantai Private Pool Akses 2mobil 500m2 ke TOL desari,5,6,250,3300000000,32352941,"Kebagusan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-jagakarsa-3lantai-private-pool-akses-2mobil-500m2-ke-tol-desari-oleh-junaedi-abdullah-17827602
"Rumah Mewah, Townhouse Exclusive, Jakarta Timur",4,5,170,3250000000,26859504,"Cipayung, Tebet, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-townhouse-exclusive-jakarta-timur-oleh-dimas-sakti-18832616
"Rumah Exclusive Linea Haus, Lokasi Strategis di Jl. Sawo, Ciganjur, Jagakarsa, Jakarta Selatan",3,3,200,3200000000,21333333,"Jl. Sawo, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-exclusive-linea-haus-lokasi-strategis-di-jl-sawo-ciganjur-jagakarsa-jakarta-selatan-oleh-tri-budiono-18645289
Linea Haus,3,3,200,3200000000,21333333,"1 JL Sawo 1, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-linea-haus-oleh-toha-assegaf-16762101
Jagakarsa,3,3,250,3200000000,23703704,"Kavling dki, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jagakarsa-oleh-astri-18380442
Komplek Cinere murah banget,4,5,4000,3200000000,8533333,"Cinere estate, Cinere, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-komplek-cinere-murah-banget-oleh-mirza-18755409
Rumah Mewah HOOK Cluster Besar,4,4,180,3200000000,18713450,"Jl sirsak, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-hook-cluster-besar-oleh-junaedi-abdullah-17457582
Miliki Rumah dlm komplek elite di Jagakarsa. Kondisi Rumah Terawat dgn baik. Posisi Hook,4,4,180,3200000000,18713450,"Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-miliki-rumah-dlm-komplek-elite-di-jagakarsa-kondisi-rumah-terawat-dgn-baik-posisi-hook-oleh-zainab-alattas-17432457
Rumah Mewah Dalam Komplek Besar Area Strategis,4,4,180,3200000000,18713450,"Jln Jagakarsa, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-dalam-komplek-besar-area-strategis-oleh-syarifudin-18302615
Dijual Rumah mewah 3 lantai hook dijagakarsa jakarta selatan,4,4,180,3200000000,18713450,"Sirsak, Ciganjur, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-3-lantai-hook-dijagakarsa-jakarta-selatan-oleh-wildan-maricar-17293004
Rumah siap Huni plus Swimming poll Di Jagakarsa,4,5,250,3200000000,23703704,"Kebagusan, Kebagusan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-plus-swimming-poll-di-jagakarsa-oleh-iko-18586124
Rumah 2 lantai Jagakarsa 10 Menit Tol Brigif Kolam renang pribadi di kawasan asri,4,4,240,3200000000,23703704,"Jl. Timbul No 34, RT6/RW5, Cipedak, Jagakarsa, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-2-lantai-jagakarsa-10-menit-tol-brigif-kolam-renang-pribadi-di-kawasan-asri-oleh-iftitakhur-rohmawan-17942915
Rumah Mewah klasik modern,4,4,225,3200000000,23703704,"Kahfi 2 jagakarsa, Kebagusan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-klasik-modern-oleh-ihwan-amin-18125777
Jagakarsa,5,5,250,3200000000,23703704,"Jl Timbul, Cipedak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jagakarsa-oleh-ahmad-sofwan-18874187
Rumah mewah private pool,5,5,250,3200000000,23703704,"Moch Kahfi 2, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-private-pool-oleh-adjie-opuz-18871341
RUMAH MEWAH DG PRIVATE POLL DI KAVLING Dpr Mpr Jagakarsa,5,5,215,3200000000,25600000,"Jl Moch Kahfi 1 Jagakarsa Jakarta Selatan, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-dg-private-poll-di-kavling-dpr-mpr-jagakarsa-oleh-wildan-said-14530448
Hunian Baru 2 Lantai Lokasi Strategis Dekat Dengan Pasar Pondok Labu dan sekolah Al Izhar,4,4,126,3175800000,26031148,"Jl.karang tengah1 rt 4/rw 3, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-hunian-baru-2-lantai-lokasi-strategis-dekat-dengan-pasar-pondok-labu-dan-sekolah-al-izhar-oleh-manshur-salim-17468004
Perumahan Mewah Di Pinggir Jalan Raya Harga TERMURAAAH,4,4,126,3175800000,26031148,"Jl.karang tengah1 rt 4/rw 3, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-perumahan-mewah-di-pinggir-jalan-raya-harga-termuraaah-oleh-manshur-salim-17467784
Perumahan Mewah 2 Lantai Daerah Cilandak jakarta Selatan,4,4,126,3175800000,26031148,"Jl. karang tengah 1 rt 4 rw 3, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-perumahan-mewah-2-lantai-daerah-cilandak-jakarta-selatan-oleh-hamam-17414453
Rumah Baru Brand New Mewah 2 Lantai di Tebet Timur III,3,4,150,3150000000,33870968,"Tebet Timur III, Tebet, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-baru-brand-new-mewah-2-lantai-di-tebet-timur-iii-oleh-helmi-riza-17608506
Rumah kost2an tebet barat 2 lantai  jalan 1 mobil lokasi strategis dekat ke jalan Soepomo.,3,10,250,3100000000,17222222,"Tebet Barat, Tebet Barat, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-kost2an-tebet-barat-2-lantai-jalan-1-mobil-lokasi-strategis-dekat-ke-jalan-soepomo-oleh-cecep-baskara-18349349
"4 Bedrooms Rumah Bintaro, Jakarta Selatan, DKI Jakarta",3,4,190,3100000000,23846154,"Bintaro, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-4-bedrooms-rumah-bintaro-jakarta-selatan-dki-jakarta-oleh-ahmad-tamimi-17253026
"Rumah Cantik di Tebet Barat, lokasi Ok",3,4,200,3100000000,32631579,"Tebet Barat, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-cantik-di-tebet-barat-lokasi-ok-oleh-aris-kumoro-18022305
Rumah,4,4,350,3100000000,12400000,"Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-oleh-purwadi-heri-purwanto-17675475
"DKI Jakarta, Jakarta Selatan, Jagakarsa",4,4,200,3100000000,22794118,"moh kahfi 2 Jagakarsa Jakarta Selatan, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dki-jakarta-jakarta-selatan-jagakarsa-oleh-nasarudin-18052876
New Unit Rumah DiJual Jakarta Selatan,4,4,200,3100000000,22794118,"Jl. Moh Kahfi 2, Jagakarsa, Jakarta Selatan, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-new-unit-rumah-dijual-jakarta-selatan-oleh-nasarudin-18911342
Jagakarsa,4,4,140,3100000000,22962963,"Jl Moh Kahfi 2, Ciganjur, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jagakarsa-oleh-ahmad-sofwan-18942292
Rumah Kost Terisi di Tebet,0,10,180,3100000000,10333333,"Tebet, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-kost-terisi-di-tebet-oleh-duta-nirwana-16394392
PERMATA HIJAU MANSION,5,4,115,3075659084,68347980,"Jln Limo Kebayoran Baru Jakarta Selatan, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-permata-hijau-mansion-oleh-antonio-adolpo-18761155
HANYA ADA 33 UNIT! PERMATA HIJAU MANSION PERUMAHAN LOKASI TERBAIK DENGAN DESIGN ROOFTOP GARDEN,4,3,115,3070000000,68222222,"Jln Limo No 10, Kebayoran Lama, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-hanya-ada-33-unit-permata-hijau-mansion-perumahan-lokasi-terbaik-dengan-design-rooftop-garden-oleh-jerry-winata-18901234
Bona Indah lebak bulus,1,2,100,3000000000,26315789,"Lebak Bulus, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-bona-indah-lebak-bulus-oleh-monika-azzahra-18911923
"Dijual Rumah Menteng Dalam Jakarta Selatan, Lokasi Strategis",2,3,175,3000000000,17142857,"Jln. Merpati I No.44, Menteng Dalam, Menteng Dalam, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-menteng-dalam-jakarta-selatan-lokasi-strategis-oleh-wihandono-soewarso-13233038
Fortunia Residences,3,4,179,3000000000,18404908,". Jl. Raya Southcity Utara Lot 5 No. 12, Pondok Cabe, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-fortunia-residences-oleh-tati-hartati-18307755
Dijual 1 Unit Rumah Dalam Townhouse  di JAKARTA SELATAN,3,4,154,3000000000,20833333,"Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-1-unit-rumah-dalam-townhouse-di-jakarta-selatan-oleh-roos-18869590
"Rumah Eksklusif Cluster El Cordoba, Jagakarsa",3,3,180,3000000000,21428571,"Jl. Sadar, Ciganjur, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-eksklusif-cluster-el-cordoba-jagakarsa-oleh-winnie-18878322
Rumah Semi Furnished Prive Pool Sangat Terawat Dalam Townhouse Di Jagakarsa Jakarta Selatan,3,3,180,3000000000,21428571,"Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-semi-furnished-prive-pool-sangat-terawat-dalam-townhouse-di-jagakarsa-jakarta-selatan-oleh-tahya-dhimuka-18909302
Rumah Baru di permata hijau harga early bird,3,3,45,3000000000,26086957,"Permata Hijau, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-baru-di-permata-hijau-harga-early-bird-oleh-arya-panggiri-18772872
Rumah Plus swimming poll Di Jagakarsa,4,4,160,3000000000,14563107,"Mochamad Kahfi1 jagakarsa, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-plus-swimming-poll-di-jagakarsa-oleh-iko-18648911
JAGAKARSA - RUMAH HOOK 2 LANTAI DALAM CLUSTER,4,4,137,3000000000,20270270,"HUBUNGI : FITRI - WA. 0812.8003.0500, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jagakarsa-rumah-hook-2-lantai-dalam-cluster-oleh-fitri-hatta-18895596
Hunian second di cluster mewah di jl sadar raya,4,4,180,3000000000,21428571,"Jl sadar raya, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-hunian-second-di-cluster-mewah-di-jl-sadar-raya-oleh-burhan-18910333
Rumah Mewah Medern Classic Jagakarsa,4,4,180,3000000000,21428571,"Jagakarsa Raya, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-medern-classic-jagakarsa-oleh-ahmad-sofwan-18849861
Rumah Dijual Murah Dalam Townhouse Lokasi Strategis Di Ragunan Jakarta Selatan,4,4,130,3000000000,22388060,"Ragunan, Ragunan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dijual-murah-dalam-townhouse-lokasi-strategis-di-ragunan-jakarta-selatan-oleh-fathia-thalib-s-i-kom-18829580
RUMAH 2 LANTAI DALAM CLUSTER BESAR DEKAT JALAN RAYA,4,4,180,3000000000,22900763,"Jagakarsa, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-2-lantai-dalam-cluster-besar-dekat-jalan-raya-oleh-allan-dody-18867404
Dijual Cepat Rumah Fully Furnished Cluster Private di Bintaro Sektor 9,4,5,145,3000000000,24390244,"Bintaro Sektor 9, Bintaro, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-fully-furnished-cluster-private-di-bintaro-sektor-9-oleh-nicky-gayatri-18939538
Ragunan Jagakarsa,4,5,250,3000000000,31250000,"Jl Ragunan Jagakarsa, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-ragunan-jagakarsa-oleh-ahmad-sofwan-18861633
"Rumah Baru Siap Huni di Tebet Barat, Dekat ke Supomo, Kasablanka dan Pancoran",4,5,180,3000000000,31578947,"Tebet, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-baru-siap-huni-di-tebet-barat-dekat-ke-supomo-kasablanka-dan-pancoran-oleh-helmi-riza-18131712
Rumah Townhouse,4,6,270,2999999000,14999995,"Jalan M kahfi 1Komplek Kavling DKI Jaksel, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-townhouse-oleh-wahyu-16189937
Jual Cepat Murah Brand New Cluster Fasilitas Private Pool Lokasi Premium Di Permata Hijau Jakarta Se,5,4,115,2999000000,66644444,"Permata Hijau, Permata Hijau, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jual-cepat-murah-brand-new-cluster-fasilitas-private-pool-lokasi-premium-di-permata-hijau-jakarta-se-oleh-fathia-thalib-s-i-kom-18496798
Grand Trevista Rempoa,3,3,161,2952275000,28116905,"Jl.Kesatriaan Ciputat Rempoa, Ciputat, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-grand-trevista-rempoa-oleh-anton-16692215
Rumah mewah impian keluarga berbahagia area pondok pinang - rempoa,3,3,161,2952275000,28116905,"Jl kesatriaan rempoa, Pondok Pinang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-impian-keluarga-berbahagia-area-pondok-pinang-rempoa-oleh-i-wayan-sudarta-16453055
Jakarta  Selatan,4,6,250,2950000000,18437500,"Jl Moh Kahfi 1, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jakarta-selatan-oleh-ahmad-sofwan-18837351
Adora Town House Jual Kavling Juga Ada Kolam Renangnya Juga,4,4,120,2950000000,19155844,"Jl Kebembem Raya Kav 1, Ciganjur, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-adora-town-house-jual-kavling-juga-ada-kolam-renangnya-juga-oleh-ahmad-sulaiman-15165719
"4 Bedrooms Rumah Kebagusan, Jakarta Selatan, DKI Jakarta",4,4,150,2950000000,22692308,"Kebagusan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-4-bedrooms-rumah-kebagusan-jakarta-selatan-dki-jakarta-oleh-muhamad-hansamu-18939784
Rumah Brand New di Tebet,4,5,150,2950000000,33908046,"Tebet, Tebet, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-brand-new-di-tebet-oleh-helmi-riza-18872211
Kebagusan jakarta selatan,5,5,250,2950000000,18789809,"Kebagusan raya, Kebagusan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kebagusan-jakarta-selatan-oleh-canudin-18922229
Rumah Murah Mewah 2 lt Lokasi Di Pinggir Jalan Daerah Jakarta Selatan,4,4,126,2937800000,28248077,"Jl.karang tengah1 rt 4/rw 3, Lebak Bulus, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-murah-mewah-2-lt-lokasi-di-pinggir-jalan-daerah-jakarta-selatan-oleh-manshur-salim-17467712
Lebak bulus,4,4,126,2937000000,28240385,"Lebak Bulus, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-lebak-bulus-oleh-hanny-widyarini-18649528
Rumah Baru dalam Cluster Nyaman Grand Trevista Rempoa,2,3,161,2927275000,27878810,"Jalan Kesatriaan No.99, Rempoa, Ciputat, Ciputat, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-baru-dalam-cluster-nyaman-grand-trevista-rempoa-oleh-supadi-17339654
Rumah Dijual Pasar Minggu,2,4,155,2900000000,13181818,"Pasar Minggu, Pasar Minggu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-dijual-pasar-minggu-oleh-andien-rr-18925872
Dijual Rumah Bintaro Jaya,2,3,200,2900000000,16111111,"Bintaro, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-bintaro-jaya-oleh-suranto-eustachius-18906879
Cilandak Green Hill,2,3,120,2900000000,18709677,"jl pondok labu, Cilandak, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cilandak-green-hill-oleh-indah-17117832
"3 Bedrooms Rumah Lebak Bulus, Jakarta Selatan, DKI Jakarta",2,3,120,2900000000,25438596,"Lebak Bulus, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-3-bedrooms-rumah-lebak-bulus-jakarta-selatan-dki-jakarta-oleh-inung-18644924
"4 Bedrooms Rumah Lebak Bulus, Jakarta Selatan, DKI Jakarta",2,4,120,2900000000,25438596,"Lebak Bulus, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-4-bedrooms-rumah-lebak-bulus-jakarta-selatan-dki-jakarta-oleh-monika-azzahra-18911895
"3 Bedrooms Rumah Tanah Kusir, Jakarta Selatan, DKI Jakarta",3,3,113,2900000000,30526316,"Tanah Kusir, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-3-bedrooms-rumah-tanah-kusir-jakarta-selatan-dki-jakarta-oleh-ahmad-tamimi-18628199
"4 menit ke Tol TB. Simatupang, Busway, MRT, Arkadia, Kebun Binatang",4,5,150,2900000000,26851852,"Kebagusan Raya, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-4-menit-ke-tol-tb-simatupang-busway-mrt-arkadia-kebun-binatang-oleh-endang-sutisna-18868405
PERMATA HIJAU MANSION free KOLAM RENANG Jakarta Selatan,4,3,120,2900000000,58000000,"JL Limo No 10 Permata Hijau Jakarta Selatan, Permata Hijau, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-permata-hijau-mansion-free-kolam-renang-jakarta-selatan-oleh-muhammad-zen-18717825
