nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link,harga_kategori,harga_m2_kategori,latitude,longitude,distance,nomor,TEBET,SETIA BUDI,MAMPANG PRAPATAN,PASAR MINGGU,KEBAYORAN LAMA,CILANDAK,KEBAYORAN BARU,PANCORAN,JAGAKARSA,PESANGGRAHAN
Petukangan Jakarta Selatan,3,6,300,4900000000,11036036,"Petukangan Jakarta Selatan, Pesanggrahan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-petukangan-jakarta-selatan-oleh-windi-18819840,"3,5 - 5 M",10 - 15 Juta,-6.236229999999978,106.75478000000004,,982,0.10351127902565427,0.09179097232919897,0.08229029346707506,0.12911400417487862,0.03856926796810711,0.09499349659790823,0.055161825561476974,0.10796188675636742,0.165403938669634,0.018062452726986145
Jagakarsa,3,5,275,4900000000,23444976,"Jl Moh Kahfi 1, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jagakarsa-oleh-ahmad-sofwan-18837852,"3,5 - 5 M",15 - 25 Juta,-6.334499999999935,106.81966000000006,,983,0.13690127902559546,0.12518097232914016,0.08351230820023492,0.05329997572656264,0.12458073203186704,0.06815650340206592,0.10798817443849718,0.10313334168397592,0.003109448969845552,0.145087547272988
"DIJUAL CEPAT RUMAH MEWAH BERKELAS, BERDESAIN MODERN KLASIK EROPA DI KAWASAN PREMIUM KEMANG",3,3,205,4900000000,54444444,"Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-mewah-berkelas-berdesain-modern-klasik-eropa-di-kawasan-premium-kemang-oleh-achmad-fauzan-16946071,"3,5 - 5 M",30 Juta- Max,-6.255639999999971,106.81218000000008,,984,0.0655212790256039,0.0538009723291486,0.012132308200243358,0.05230400417484127,0.038240732031930236,0.05587760438102407,0.021648174438560375,0.03175334168398436,0.08859393866959664,0.058747547273051204
Rumah Mewah Modern Clasic Private pool Dekat Tol Andara,4,5,275,4900000000,23444976,"Jln Moh Kahfi 1 Jagakarsa, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-modern-clasic-private-pool-dekat-tol-andara-oleh-syarifudin-18838430,"3,5 - 5 M",15 - 25 Juta,-6.334499999999935,106.81966000000006,,985,0.13690127902559546,0.12518097232914016,0.08351230820023492,0.05329997572656264,0.12458073203186704,0.06815650340206592,0.10798817443849718,0.10313334168397592,0.003109448969845552,0.145087547272988
Kemang,4,3,250,4900000000,51041667,"Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kemang-oleh-ferdy-17240805,"3,5 - 5 M",30 Juta- Max,-6.255639999999971,106.81218000000008,,986,0.0655212790256039,0.0538009723291486,0.012132308200243358,0.05230400417484127,0.038240732031930236,0.05587760438102407,0.021648174438560375,0.03175334168398436,0.08859393866959664,0.058747547273051204
Rumah Kemang Desain French Classic Style,4,4,205,4900000000,54444444,"Kemang, Jakarta Selatan, Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-kemang-desain-french-classic-style-oleh-muhammad-taufiq-rizal-18706679,"3,5 - 5 M",30 Juta- Max,-6.260889999999961,106.81305000000003,,987,0.06990127902564414,0.05818097232918884,0.0165123082002836,0.04618400417490243,0.04436073203186908,0.05149760438098383,0.027768174438499216,0.0361333416840246,0.0824739386696578,0.06486754727299004
Rumah Mewah Murah di Kemang Jaksel,5,6,205,4900000000,54444444,"Jl.Kemang Timur, Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-murah-di-kemang-jaksel-oleh-nanik-18668362,"3,5 - 5 M",30 Juta- Max,-6.267967740483372,106.82389629175744,,988,0.06613272775165235,0.05441242105519706,0.01856373877371542,0.028259971934088135,0.06228476427268337,0.05526615565497561,0.04569220667931351,0.03236479041003282,0.06765910230409755,0.08279157951380434
Dijual Rumah Murah Daerah Pesanggrahan Jakarta Selatan,0,0,400,4900000000,5280172,"Pesanggrahan, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-murah-daerah-pesanggrahan-jakarta-selatan-oleh-olive-18935868,"3,5 - 5 M",0 - 10 Juta,-6.236399999999946,106.75447000000008,,989,0.10399127902557925,0.09227097232912396,0.08243029346706265,0.1292540041748662,0.03870926796809471,0.09513349659789583,0.05530182556146457,0.10810188675635501,0.16554393866962158,0.01820245272697374
"DIJUAL RUMAH SECOND, KONDISI TERAWAT, 3 LANTAI DALAM TOWN HOUSE",3,3,175,4800000000,38709677,"Kemang, Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-second-kondisi-terawat-3-lantai-dalam-town-house-oleh-zainab-alattas-18889733,"3,5 - 5 M",30 Juta- Max,-6.255639999999971,106.81218000000008,,990,0.0655212790256039,0.0538009723291486,0.012132308200243358,0.05230400417484127,0.038240732031930236,0.05587760438102407,0.021648174438560375,0.03175334168398436,0.08859393866959664,0.058747547273051204
"Dijual Rumah di Kemang Barat, Jakarta Selatan ~ Sudah Renovasi ~ Bebas Banjir",3,3,275,4800000000,38709677,"Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-kemang-barat-jakarta-selatan-sudah-renovasi-bebas-banjir-oleh-briand-18611252,"3,5 - 5 M",30 Juta- Max,-6.255639999999971,106.81218000000008,,991,0.0655212790256039,0.0538009723291486,0.012132308200243358,0.05230400417484127,0.038240732031930236,0.05587760438102407,0.021648174438560375,0.03175334168398436,0.08859393866959664,0.058747547273051204
"Dijual Rumah Bagus Siap Huni 4 lantai Di Cipete Kebayoran Baru, Lingkungan Asri",6,7,320,4800000000,26666667,"Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-bagus-siap-huni-4-lantai-di-cipete-kebayoran-baru-lingkungan-asri-oleh-mike-trisia-17785310,"3,5 - 5 M",25 - 30 Juta,-6.277569952084483,106.79880008418057,,992,0.1008311469296288,0.0891108402331735,0.04744217610426826,0.04375396790984265,0.04679076829692885,0.020567736476999166,0.03548139778138104,0.06706320958800926,0.08004390240459802,0.06729758353804982
