nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link,harga_kategori,harga_m2_kategori,latitude,longitude,nomor,TEBET,SETIA BUDI,MAMPANG PRAPATAN,PASAR MINGGU,KEBAYORAN LAMA,CILANDAK,KEBAYORAN BARU,PANCORAN,JAGAKARSA,PESANGGRAHAN,kecamatan_terdekat,kota,provinsi,negara
Pesona Azalea | Free biaya-biaya | 15 Menit ke MRT,3,3,110,1550000000,22142857,"Jl. Cirendeu Raya, Cirendeu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pesona-azalea-free-biaya-biaya-15-menit-ke-mrt-oleh-rizqi-syuhada-18693731,"1,5 - 3,5 M",15 - 25 Juta,-6.301945895780765,106.77365040738623,1536,0.15035676742025306,0.13863646072379776,0.09696779659489252,0.06675546412122024,0.05887133916345633,0.028957884013625087,0.0850070182720053,0.11658883007863352,0.08081763550265819,0.06652385043998965,CILANDAK,Jakarta Selatan,DKI Jakarta,Indonesia
RUMAH CLUSTER TANAH LUAS,4,4,160,1550000000,12301587,"aslih, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-cluster-tanah-luas-oleh-allan-dody-17931761,"1,5 - 3,5 M",10 - 15 Juta,-6.351709999999969,106.79755000000006,1537,0.17622127902562654,0.16450097232917127,0.12283230820026605,0.09261997572659376,0.11968073203190245,0.06325650340210133,0.1108715298773788,0.14245334168400706,0.04242944896987666,0.1401875472730234,JAGAKARSA,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah Baru 3unit siap Huni cash dan kpr,4,4,180,1550000000,12400000,"Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-baru-3unit-siap-huni-cash-dan-kpr-oleh-iko-18610533,"1,5 - 3,5 M",10 - 15 Juta,-6.334499999999935,106.81966000000006,1538,0.13690127902559546,0.12518097232914016,0.08351230820023492,0.053299975726562636,0.12458073203186705,0.06815650340206593,0.10798817443849718,0.10313334168397592,0.003109448969845552,0.145087547272988,JAGAKARSA,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah Lux Indent LT117 Non Cluster Jalan Benda Komplek DPR M Kahfi 1 Akses 2Mobil,4,4,130,1550000000,13247863,"Jl. Benda Komplek DPR M Kahfi 1, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-lux-indent-lt117-non-cluster-jalan-benda-komplek-dpr-m-kahfi-1-akses-2mobil-oleh-zainal-abidin-18071737,"1,5 - 3,5 M",10 - 15 Juta,-6.328388169377267,106.80564475851266,1539,0.1448046898903268,0.1330843831938715,0.09141571906496626,0.061203386591293985,0.10445365992179934,0.04802943129199822,0.08786110232842947,0.11103675254870726,0.02238101077972754,0.1249604751629203,JAGAKARSA,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah 10 menit ke toll,4,4,130,1550000000,18023256,"jalan raya khafi 2 jagakarsa Jakarta Selatan, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-10-menit-ke-toll-oleh-tarono-18841977,"1,5 - 3,5 M",15 - 25 Juta,-6.327200018021841,106.81264003124676,1540,0.13662126580079906,0.12490095910434372,0.08323229497543849,0.053019962501766216,0.11026078130047524,0.05383655267067411,0.09366822370710537,0.1028533284591795,0.016573889401051645,0.1307675965415962,JAGAKARSA,Jakarta Selatan,DKI Jakarta,Indonesia
"NEW Scandinavian Cluster 2, 5 Lantai Strategis Di Jalan Kahfi 2 Cipedak Jagakarsa Jakarta Selatan",4,4,130,1550000000,18023256,"Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-new-scandinavian-cluster-2-5-lantai-strategis-di-jalan-kahfi-2-cipedak-jagakarsa-jakarta-selatan-oleh-aslam-18816906,"1,5 - 3,5 M",15 - 25 Juta,-6.334499999999935,106.81966000000006,1541,0.13690127902559546,0.12518097232914016,0.08351230820023492,0.053299975726562636,0.12458073203186705,0.06815650340206593,0.10798817443849718,0.10313334168397592,0.003109448969845552,0.145087547272988,JAGAKARSA,Jakarta Selatan,DKI Jakarta,Indonesia
Cluster 2 lantai lt 126 baru ready stock di jagakarsa jaksel,5,5,160,1550000000,12301587,"Moch kahfi 1 jagakarsa jaksel, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cluster-2-lantai-lt-126-baru-ready-stock-di-jagakarsa-jaksel-oleh-ajmal-18756080,"1,5 - 3,5 M",10 - 15 Juta,-6.3265300105915125,106.82068003659168,1542,0.1279112530255464,0.1161909463290911,0.07452228220018586,0.04430994972651359,0.11763077921507036,0.06120655058526925,0.10103822162170052,0.09414331568392686,0.009203891486456506,0.13813759445619134,JAGAKARSA,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah mewah di dalam cluster harga murah akses 5 menit ke tol Desari,5,5,180,1550000000,12301587,"Jalan Aselih Moh.Kahfi 1 Jagakarsa, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-di-dalam-cluster-harga-murah-akses-5-menit-ke-tol-desari-oleh-yoni-topan-18164257,"1,5 - 3,5 M",10 - 15 Juta,-6.349859990342453,106.79571001175587,1543,0.17621125761229628,0.16449095091584098,0.12282228678693576,0.09260995431326348,0.11599073413020113,0.059566505500399984,0.11086150846404852,0.14244332027067674,0.04241942755654637,0.13649754937132208,JAGAKARSA,Jakarta Selatan,DKI Jakarta,Indonesia
Rumah cluster LT 125 ready stock kahfi 1 jagakarsa,5,5,180,1550000000,12400000,"Kahfi 1 jagakarsa, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-cluster-lt-125-ready-stock-kahfi-1-jagakarsa-oleh-badar-muhammad-17710747,"1,5 - 3,5 M",10 - 15 Juta,-6.334499999999935,106.81966000000006,1544,0.13690127902559546,0.12518097232914016,0.08351230820023492,0.053299975726562636,0.12458073203186705,0.06815650340206593,0.10798817443849718,0.10313334168397592,0.003109448969845552,0.145087547272988,JAGAKARSA,Jakarta Selatan,DKI Jakarta,Indonesia
CLUSTER LUXURY ASELIH JAGAKARSA,5,5,180,1550000000,12400000,"Jl aseli, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cluster-luxury-aselih-jagakarsa-oleh-burhan-18318128,"1,5 - 3,5 M",10 - 15 Juta,-6.348105909355655,106.79481057052128,1545,0.1753566178600927,0.16363631116363742,0.12196764703473215,0.0917553145610599,0.1133372119088092,0.056912983279008074,0.11000686871184497,0.14158868051847318,0.041564787804342807,0.13384402714993016,JAGAKARSA,Jakarta Selatan,DKI Jakarta,Indonesia
